Position,Location,Gender,Education,Experience (Years),Salary,Salary_in_LPA,Combined_Tokens
Data Engineer,Noida,Female,B.Sc,13,1200000,12LPA,"['data', 'engineer', 'noida', '1200000 salary', '13 experience (years)']"
Data Engineer,Noida,Female,B.Com,7,500000,5LPA,"['data', 'engineer', 'noida', '500000 salary', '7 experience (years)']"
AWS Solution Architect|AWS Data Architect,New Delhi,Female,BCA,6,1500000,15LPA,"['aws', 'solution', 'data', 'architect', 'bca', 'new', 'delhi', '1500000 salary', '6 experience (years)']"
UI with React,Dehli - Delhi,Male,B.Tech/B.E.,5,1100000,11LPA,"['ui', 'with', 'react', 'dehli', 'delhi', '1100000 salary', '5 experience (years)']"
Lead Data Engineer,Hyderabad,Male,B.Tech/B.E.,8,1800000,18LPA,"['lead', 'data', 'engineer', 'hyderabad', '1800000 salary', '8 experience (years)']"
Selenium Python,Noida,Male,B.Tech/B.E.,28,1400000,14LPA,"['selenium', 'python', 'noida', '1400000 salary', '28 experience (years)']"
NPD Design-Chassis,Dhanbad,Male,B.Com,19,1900000,19LPA,"['npd', 'design', 'chassis', 'dhanbad', '1900000 salary', '19 experience (years)']"
Data Engineer,New Delhi,Female,B.Tech/B.E.,11,900000,9LPA,"['data', 'engineer', 'new', 'delhi', '900000 salary', '11 experience (years)']"
Data Engineer,New Delhi,Female,B.Tech/B.E.,28,800000,8LPA,"['data', 'engineer', 'new', 'delhi', '800000 salary', '28 experience (years)']"
Selenium Python,Bengaluru,Male,B.Tech/B.E.,18,1800000,18LPA,"['selenium', 'python', 'bengaluru', '1800000 salary', '18 experience (years)']"
Selenium Python,Pune,Male,B.A,17,1200000,12LPA,"['selenium', 'python', 'pune', '1200000 salary', '17 experience (years)']"
Cuda Developer,New Delhi,Male,BCA,8,1400000,14LPA,"['cuda', 'developer', 'bca', 'new', 'delhi', '1400000 salary', '8 experience (years)']"
UI with React,Bengaluru,Male,B.Tech/B.E.,16,1400000,14LPA,"['ui', 'with', 'react', 'bengaluru', '1400000 salary', '16 experience (years)']"
Cuda Developer,Ghaziabad,Male,B.Tech/B.E.,21,900000,9LPA,"['cuda', 'developer', 'ghaziabad', '900000 salary', '21 experience (years)']"
Selenium Python,Mohali,Male,BBA,26,2000000,20LPA,"['selenium', 'python', 'bba', 'mohali', '2000000 salary', '26 experience (years)']"
MernmStack,Faridabad,Male,B.Com,11,900000,9LPA,"['mernmstack', 'faridabad', '900000 salary', '11 experience (years)']"
MernmStack,New Delhi,Male,B.Tech/B.E.,8,2300000,23LPA,"['mernmstack', 'new', 'delhi', '2300000 salary', '8 experience (years)']"
MernmStack,Hyderabad,Male,B.A,27,1900000,19LPA,"['mernmstack', 'hyderabad', '1900000 salary', '27 experience (years)']"
MernmStack,New Delhi,Male,B.Sc,5,900000,9LPA,"['mernmstack', 'new', 'delhi', '900000 salary', '5 experience (years)']"
UI with React,Noida,Female,BCA,16,1700000,17LPA,"['ui', 'with', 'react', 'bca', 'noida', '1700000 salary', '16 experience (years)']"
MernmStack,Chennai,Female,Diploma,14,1500000,15LPA,"['mernmstack', 'diploma', 'chennai', '1500000 salary', '14 experience (years)']"
MernmStack,New Delhi,Male,B.Tech/B.E.,9,1100000,11LPA,"['mernmstack', 'new', 'delhi', '1100000 salary', '9 experience (years)']"
UI with React,New Delhi,Female,B.Sc,7,2300000,23LPA,"['ui', 'with', 'react', 'new', 'delhi', '2300000 salary', '7 experience (years)']"
Data Engineer,Hyderabad,Male,BCA,14,900000,9LPA,"['data', 'engineer', 'bca', 'hyderabad', '900000 salary', '14 experience (years)']"
Data Engineer,Bengaluru,Male,BCA,7,1200000,12LPA,"['data', 'engineer', 'bca', 'bengaluru', '1200000 salary', '7 experience (years)']"
Selenium Python,Lucknow,Female,B.Tech/B.E.,15,700000,7LPA,"['selenium', 'python', 'lucknow', '700000 salary', '15 experience (years)']"
UI with React,New Delhi,Female,B.Tech/B.E.,20,900000,9LPA,"['ui', 'with', 'react', 'new', 'delhi', '900000 salary', '20 experience (years)']"
Selenium Python,Gurugram,Female,B.Com,24,900000,9LPA,"['selenium', 'python', 'gurugram', '900000 salary', '24 experience (years)']"
Data Engineer,Pune,Male,Diploma,23,1500000,15LPA,"['data', 'engineer', 'diploma', 'pune', '1500000 salary', '23 experience (years)']"
NPD Design-Chassis,Paonta Sahib,Male,B.Tech/B.E.,15,2400000,24LPA,"['npd', 'design', 'chassis', 'paonta', 'sahib', '2400000 salary', '15 experience (years)']"
UI with React,Gurugram,Male,B.Tech/B.E.,7,1500000,15LPA,"['ui', 'with', 'react', 'gurugram', '1500000 salary', '7 experience (years)']"
NPD Design-Chassis,Pune,Male,B.B.A/ B.M.S,22,1300000,13LPA,"['npd', 'design', 'chassis', 'pune', '1300000 salary', '22 experience (years)']"
UI with React,Hyderabad,Female,B.Sc,7,1700000,17LPA,"['ui', 'with', 'react', 'hyderabad', '1700000 salary', '7 experience (years)']"
Selenium Python,Hyderabad,Female,B.A,21,2200000,22LPA,"['selenium', 'python', 'hyderabad', '2200000 salary', '21 experience (years)']"
Data Engineer,Noida,Female,B.Tech/B.E.,11,1200000,12LPA,"['data', 'engineer', 'noida', '1200000 salary', '11 experience (years)']"
Selenium Python,Bengaluru,Male,BCA,13,1100000,11LPA,"['selenium', 'python', 'bca', 'bengaluru', '1100000 salary', '13 experience (years)']"
Data Engineer,Gurugram,Male,LLB,26,1000000,10LPA,"['data', 'engineer', 'llb', 'gurugram', '1000000 salary', '26 experience (years)']"
C+ Linux,Bengaluru,Female,B.Com,7,1500000,15LPA,"['linux', 'bengaluru', '1500000 salary', '7 experience (years)']"
Selenium Python,Bengaluru,Male,B.Com,13,1300000,13LPA,"['selenium', 'python', 'bengaluru', '1300000 salary', '13 experience (years)']"
Data Engineer,Kolkata,Male,B.Sc,14,2000000,20LPA,"['data', 'engineer', 'kolkata', '2000000 salary', '14 experience (years)']"
Cuda Developer,Noida,Male,B.A,22,1900000,19LPA,"['cuda', 'developer', 'noida', '1900000 salary', '22 experience (years)']"
C+ Linux,London - United Kingdom (UK),Male,B.Com,13,1800000,18LPA,"['linux', 'london', 'united', 'kingdom', 'uk', '1800000 salary', '13 experience (years)']"
C+ Linux,Pune,Male,B.Tech/B.E.,7,700000,7LPA,"['linux', 'pune', '700000 salary', '7 experience (years)']"
Cuda Developer,New Delhi,Male,B.Tech/B.E.,28,2500000,25LPA,"['cuda', 'developer', 'new', 'delhi', '2500000 salary', '28 experience (years)']"
BMC Control,Bengaluru,Male,B.A,20,2300000,23LPA,"['bmc', 'control', 'bengaluru', '2300000 salary', '20 experience (years)']"
Cuda Developer,Bahadurgarh,Male,BCA,16,900000,9LPA,"['cuda', 'developer', 'bca', 'bahadurgarh', '900000 salary', '16 experience (years)']"
Cuda Developer,Pune,Female,BCA,24,600000,6LPA,"['cuda', 'developer', 'bca', 'pune', '600000 salary', '24 experience (years)']"
BMC Control,Srinagar,Male,B.Tech/B.E.,27,1900000,19LPA,"['bmc', 'control', 'srinagar', '1900000 salary', '27 experience (years)']"
BMC Control,"Pune, kolhapur - Maharashtra",Female,BCA,5,2000000,20LPA,"['bmc', 'control', 'bca', 'pune', 'kolhapur', 'maharashtra', '2000000 salary', '5 experience (years)']"
BMC Control,Chennai,Male,B.Sc,23,500000,5LPA,"['bmc', 'control', 'chennai', '500000 salary', '23 experience (years)']"
BMC Control,New Delhi,Female,B.Tech/B.E.,26,1500000,15LPA,"['bmc', 'control', 'new', 'delhi', '1500000 salary', '26 experience (years)']"
Cuda Developer,New Delhi,Male,B.Tech/B.E.,9,1200000,12LPA,"['cuda', 'developer', 'new', 'delhi', '1200000 salary', '9 experience (years)']"
Cuda Developer,Ghaziabad,Female,B.Sc,10,1000000,10LPA,"['cuda', 'developer', 'ghaziabad', '1000000 salary', '10 experience (years)']"
Cuda Developer,Lucknow,Male,B.Com,16,1400000,14LPA,"['cuda', 'developer', 'lucknow', '1400000 salary', '16 experience (years)']"
Maths Teacher,Jaipur,Female,B.Tech/B.E.,28,900000,9LPA,"['maths', 'teacher', 'jaipur', '900000 salary', '28 experience (years)']"
Salesfoce Developer,Noida,Female,B.Tech/B.E.,18,2400000,24LPA,"['salesfoce', 'developer', 'noida', '2400000 salary', '18 experience (years)']"
Salesfoce Developer,Bengaluru,,B.A,20,700000,7LPA,"['salesfoce', 'developer', 'bengaluru', '700000 salary', '20 experience (years)']"
Maths Teacher,New Delhi,Male,BCA,13,2400000,24LPA,"['maths', 'teacher', 'bca', 'new', 'delhi', '2400000 salary', '13 experience (years)']"
Maths Teacher,Hyderabad,Male,B.Tech/B.E.,17,1300000,13LPA,"['maths', 'teacher', 'hyderabad', '1300000 salary', '17 experience (years)']"
Maths Teacher,Pune,Male,B.B.A/ B.M.S,13,2200000,22LPA,"['maths', 'teacher', 'pune', '2200000 salary', '13 experience (years)']"
Maths Teacher,New Delhi,Male,B.A,25,2300000,23LPA,"['maths', 'teacher', 'new', 'delhi', '2300000 salary', '25 experience (years)']"
Maths Teacher,Rajahmundry,Male,B.A,24,1100000,11LPA,"['maths', 'teacher', 'rajahmundry', '1100000 salary', '24 experience (years)']"
Cuda Developer,Faridabad,Male,,26,2400000,24LPA,"['cuda', 'developer', 'faridabad', '2400000 salary', '26 experience (years)']"
Cuda Developer,New Delhi,Female,B.Sc,19,2300000,23LPA,"['cuda', 'developer', 'new', 'delhi', '2300000 salary', '19 experience (years)']"
Maths Teacher,New Delhi,Female,B.Com,8,1700000,17LPA,"['maths', 'teacher', 'new', 'delhi', '1700000 salary', '8 experience (years)']"
Salesfoce Developer,Pune,Male,B.Tech/B.E.,24,800000,8LPA,"['salesfoce', 'developer', 'pune', '800000 salary', '24 experience (years)']"
Salesfoce Developer,New Delhi,Male,Diploma,5,1200000,12LPA,"['salesfoce', 'developer', 'diploma', 'new', 'delhi', '1200000 salary', '5 experience (years)']"
Salesfoce Developer,Uttar Pradesh - Uttar Pradesh,Male,B.A,6,2400000,24LPA,"['salesfoce', 'developer', 'uttar', 'pradesh', 'uttar', 'pradesh', '2400000 salary', '6 experience (years)']"
Salesfoce Developer,Bhopal,Male,B.A,5,2200000,22LPA,"['salesfoce', 'developer', 'bhopal', '2200000 salary', '5 experience (years)']"
Salesfoce Developer,Varanasi,Female,B.Tech/B.E.,22,1300000,13LPA,"['salesfoce', 'developer', 'varanasi', '1300000 salary', '22 experience (years)']"
Basic/Advance Maths Teacher,Bengaluru,Male,BCA,17,1100000,11LPA,"['basic', 'advance', 'maths', 'teacher', 'bca', 'bengaluru', '1100000 salary', '17 experience (years)']"
AML Triage Analyst,Hyderabad,Male,B.Tech/B.E.,10,600000,6LPA,"['aml', 'triage', 'analyst', 'hyderabad', '600000 salary', '10 experience (years)']"
Salesforce,Bengaluru,Female,B.A,14,1800000,18LPA,"['salesforce', 'bengaluru', '1800000 salary', '14 experience (years)']"
Python Backend Developer,Mumbai,Male,B.Tech/B.E.,21,1100000,11LPA,"['python', 'backend', 'developer', 'mumbai', '1100000 salary', '21 experience (years)']"
Python Backend Developer,MEERUT - United States (USA),Male,B.Tech/B.E.,26,2100000,21LPA,"['python', 'backend', 'developer', 'meerut', 'united', 'states', 'usa', '2100000 salary', '26 experience (years)']"
Mernstack,New Delhi,Female,B.Tech/B.E.,8,1600000,16LPA,"['mernstack', 'new', 'delhi', '1600000 salary', '8 experience (years)']"
ELK Engineer,Pune,Male,B.Tech/B.E.,11,1700000,17LPA,"['elk', 'engineer', 'pune', '1700000 salary', '11 experience (years)']"
,Noida,Female,B.Tech/B.E.,8,500000,5LPA,"['noida', '500000 salary', '8 experience (years)']"
Python Machine learning+ NLP,Kota,Male,B.Tech/B.E.,6,1700000,17LPA,"['python', 'machine', 'nlp', 'kota', '1700000 salary', '6 experience (years)']"
Python Machine learning+ NLP,Noida,Female,B.Tech/B.E.,10,2100000,21LPA,"['python', 'machine', 'nlp', 'noida', '2100000 salary', '10 experience (years)']"
UI with React,Kashipur,Male,B.Com,5,1300000,13LPA,"['ui', 'with', 'react', 'kashipur', '1300000 salary', '5 experience (years)']"
Python Backend Developer,Bengaluru,Female,B.Tech/B.E.,25,900000,9LPA,"['python', 'backend', 'developer', 'bengaluru', '900000 salary', '25 experience (years)']"
Python Machine learning+ NLP,Noida,Female,B.Com,7,1100000,11LPA,"['python', 'machine', 'nlp', 'noida', '1100000 salary', '7 experience (years)']"
Python Machine learning+ NLP,Noida,Female,B.Sc,6,600000,6LPA,"['python', 'machine', 'nlp', 'noida', '600000 salary', '6 experience (years)']"
Python Machine learning+ NLP,Sathyamangalam,Female,B.Sc,5,1700000,17LPA,"['python', 'machine', 'nlp', 'sathyamangalam', '1700000 salary', '5 experience (years)']"
Python Machine learning+ NLP,Pune,Male,BCA,20,1400000,14LPA,"['python', 'machine', 'nlp', 'bca', 'pune', '1400000 salary', '20 experience (years)']"
Verilog,Ranchi - Madhya Pradesh,Male,B.Tech/B.E.,11,1300000,13LPA,"['verilog', 'ranchi', 'madhya', 'pradesh', '1300000 salary', '11 experience (years)']"
Verilog,Coimbatore,Female,B.Sc,11,900000,9LPA,"['verilog', 'coimbatore', '900000 salary', '11 experience (years)']"
Verilog,Gurugram,Male,,22,700000,7LPA,"['verilog', 'gurugram', '700000 salary', '22 experience (years)']"
Linux/CI/CD/Jenkin/AWS/Devops,New Delhi,Male,B.Tech/B.E.,21,2000000,20LPA,"['linux', 'ci', 'cd', 'jenkin', 'aws', 'devops', 'new', 'delhi', '2000000 salary', '21 experience (years)']"
UI Angular,Bengaluru,Female,B.Tech/B.E.,17,2300000,23LPA,"['ui', 'angular', 'bengaluru', '2300000 salary', '17 experience (years)']"
Java Developer,Chandigarh,Female,BCA,6,1500000,15LPA,"['java', 'developer', 'bca', 'chandigarh', '1500000 salary', '6 experience (years)']"
Python,Noida,Male,B.A,18,1200000,12LPA,"['python', 'noida', '1200000 salary', '18 experience (years)']"
AWS/Devops,Mumbai,Male,B.B.A/ B.M.S,7,2100000,21LPA,"['aws', 'devops', 'mumbai', '2100000 salary', '7 experience (years)']"
Linux(UNuntu)/AWS,Bengaluru,Female,B.Tech/B.E.,24,1900000,19LPA,"['bengaluru', '1900000 salary', '24 experience (years)']"
Salesforce Developer,Hyderabad,Male,B.A,27,500000,5LPA,"['salesforce', 'developer', 'hyderabad', '500000 salary', '27 experience (years)']"
Python Backend Developer,Kolkata,Male,B.Tech/B.E.,25,1300000,13LPA,"['python', 'backend', 'developer', 'kolkata', '1300000 salary', '25 experience (years)']"
UI with React,Bengaluru,Female,B.A,18,1100000,11LPA,"['ui', 'with', 'react', 'bengaluru', '1100000 salary', '18 experience (years)']"
Verilog,Gurugram,Male,Diploma,28,1300000,13LPA,"['verilog', 'diploma', 'gurugram', '1300000 salary', '28 experience (years)']"
Verilog,New Delhi,Female,B.Com,8,700000,7LPA,"['verilog', 'new', 'delhi', '700000 salary', '8 experience (years)']"
Verilog,New Delhi,Female,B.Tech/B.E.,11,1200000,12LPA,"['verilog', 'new', 'delhi', '1200000 salary', '11 experience (years)']"
UI with React,Kolkata,Female,BCA,18,700000,7LPA,"['ui', 'with', 'react', 'bca', 'kolkata', '700000 salary', '18 experience (years)']"
Python Fullstack,Noida,Male,B.Tech/B.E.,8,1400000,14LPA,"['python', 'fullstack', 'noida', '1400000 salary', '8 experience (years)']"
React Native,Durgapur,Male,B.Tech/B.E.,25,1900000,19LPA,"['react', 'native', 'durgapur', '1900000 salary', '25 experience (years)']"
Python Fullstack,New Delhi,Male,B.Tech/B.E.,28,1500000,15LPA,"['python', 'fullstack', 'new', 'delhi', '1500000 salary', '28 experience (years)']"
React Native,Pune,Female,B.Sc,12,1100000,11LPA,"['react', 'native', 'pune', '1100000 salary', '12 experience (years)']"
Cyber Security,New Delhi,Male,B.Tech/B.E.,23,1500000,15LPA,"['cyber', 'security', 'new', 'delhi', '1500000 salary', '23 experience (years)']"
Python Backend,Mumbai,Male,B.Tech/B.E.,28,1100000,11LPA,"['python', 'backend', 'mumbai', '1100000 salary', '28 experience (years)']"
Computer Vision,Mumbai,Male,B.Tech/B.E.,13,1800000,18LPA,"['computer', 'vision', 'mumbai', '1800000 salary', '13 experience (years)']"
cyber Security Practice,Pune,Male,B.Sc,24,1000000,10LPA,"['cyber', 'security', 'practice', 'pune', '1000000 salary', '24 experience (years)']"
React Native,North Goa,Male,BCA,19,1100000,11LPA,"['react', 'native', 'bca', 'north', 'goa', '1100000 salary', '19 experience (years)']"
Python Backend,Patna,Male,B.Com,23,1600000,16LPA,"['python', 'backend', 'patna', '1600000 salary', '23 experience (years)']"
RPA Developer,Mumbai,Male,B.Tech/B.E.,28,900000,9LPA,"['rpa', 'developer', 'mumbai', '900000 salary', '28 experience (years)']"
cyber Security Practice,New Delhi,Male,B.Com,19,2300000,23LPA,"['cyber', 'security', 'practice', 'new', 'delhi', '2300000 salary', '19 experience (years)']"
Data Science,Pune,Female,BCA,20,1400000,14LPA,"['data', 'science', 'bca', 'pune', '1400000 salary', '20 experience (years)']"
Data Science,New Delhi,Female,B.B.A/ B.M.S,19,2100000,21LPA,"['data', 'science', 'new', 'delhi', '2100000 salary', '19 experience (years)']"
Data Science,Kolkata,Male,B.Tech/B.E.,15,800000,8LPA,"['data', 'science', 'kolkata', '800000 salary', '15 experience (years)']"
Data Science,Pune,Male,BCA,22,1200000,12LPA,"['data', 'science', 'bca', 'pune', '1200000 salary', '22 experience (years)']"
Data Science,New Delhi,Male,B.Tech/B.E.,14,1200000,12LPA,"['data', 'science', 'new', 'delhi', '1200000 salary', '14 experience (years)']"
Data Science,Bengaluru,Male,B.Com,14,1300000,13LPA,"['data', 'science', 'bengaluru', '1300000 salary', '14 experience (years)']"
Data Science,Kolkata,Male,B.Com,7,2000000,20LPA,"['data', 'science', 'kolkata', '2000000 salary', '7 experience (years)']"
Data Science,Gwalior,Female,B.Tech/B.E.,7,1000000,10LPA,"['data', 'science', 'gwalior', '1000000 salary', '7 experience (years)']"
Data Science,Noida,Male,B.Tech/B.E.,7,1100000,11LPA,"['data', 'science', 'noida', '1100000 salary', '7 experience (years)']"
Data Science,New Delhi,Female,B.Tech/B.E.,6,1000000,10LPA,"['data', 'science', 'new', 'delhi', '1000000 salary', '6 experience (years)']"
Data Science,Bhiwandi,Female,B.Tech/B.E.,9,600000,6LPA,"['data', 'science', 'bhiwandi', '600000 salary', '9 experience (years)']"
React Native,New Delhi,Female,B.Tech/B.E.,9,1000000,10LPA,"['react', 'native', 'new', 'delhi', '1000000 salary', '9 experience (years)']"
Computer Vision,New Delhi,Male,B.Sc,19,700000,7LPA,"['computer', 'vision', 'new', 'delhi', '700000 salary', '19 experience (years)']"
UI with React,Gwalior,Male,B.Tech/B.E.,11,1900000,19LPA,"['ui', 'with', 'react', 'gwalior', '1900000 salary', '11 experience (years)']"
Computer Vision,Renukoot,Male,B.A,22,2100000,21LPA,"['computer', 'vision', 'renukoot', '2100000 salary', '22 experience (years)']"
React Native,Bengaluru,Male,B.Com,9,1600000,16LPA,"['react', 'native', 'bengaluru', '1600000 salary', '9 experience (years)']"
UI with React,Bengaluru,Female,B.Sc,13,900000,9LPA,"['ui', 'with', 'react', 'bengaluru', '900000 salary', '13 experience (years)']"
UI with React,Noida,Male,B.Sc,9,2100000,21LPA,"['ui', 'with', 'react', 'noida', '2100000 salary', '9 experience (years)']"
UI with React,Bengaluru,Male,B.Com,26,1900000,19LPA,"['ui', 'with', 'react', 'bengaluru', '1900000 salary', '26 experience (years)']"
React Native,Noida,Male,B.A,22,1900000,19LPA,"['react', 'native', 'noida', '1900000 salary', '22 experience (years)']"
Computer Vision,Pune,Male,B.Sc,19,1800000,18LPA,"['computer', 'vision', 'pune', '1800000 salary', '19 experience (years)']"
Computer Vision,Pune,Female,B.Sc,9,1500000,15LPA,"['computer', 'vision', 'pune', '1500000 salary', '9 experience (years)']"
UI with React,Noida,Female,B.Com,7,1800000,18LPA,"['ui', 'with', 'react', 'noida', '1800000 salary', '7 experience (years)']"
React Native,Bengaluru,Female,B.Tech/B.E.,13,1900000,19LPA,"['react', 'native', 'bengaluru', '1900000 salary', '13 experience (years)']"
UI with React,New Delhi,Male,B.A,21,1900000,19LPA,"['ui', 'with', 'react', 'new', 'delhi', '1900000 salary', '21 experience (years)']"
Python Backend,Mumbai,Male,B.Sc,20,800000,8LPA,"['python', 'backend', 'mumbai', '800000 salary', '20 experience (years)']"
Meanstack,Pune,Male,B.Tech/B.E.,16,1100000,11LPA,"['meanstack', 'pune', '1100000 salary', '16 experience (years)']"
Computer Vision,New Delhi,Female,B.Tech/B.E.,27,1600000,16LPA,"['computer', 'vision', 'new', 'delhi', '1600000 salary', '27 experience (years)']"
Meanstack,Mumbai,Female,B.Tech/B.E.,15,1100000,11LPA,"['meanstack', 'mumbai', '1100000 salary', '15 experience (years)']"
MS Dynamics 365,Meerut,Male,B.Sc,7,700000,7LPA,"['ms', 'dynamics', 'meerut', '700000 salary', '7 experience (years)']"
Computer Vision,New Delhi,Male,BCA,16,1200000,12LPA,"['computer', 'vision', 'bca', 'new', 'delhi', '1200000 salary', '16 experience (years)']"
MS Dynamics 365,Gudivada,Male,B.Tech/B.E.,20,1900000,19LPA,"['ms', 'dynamics', 'gudivada', '1900000 salary', '20 experience (years)']"
Python Fullstack,New Delhi,Male,B.Tech/B.E.,15,1800000,18LPA,"['python', 'fullstack', 'new', 'delhi', '1800000 salary', '15 experience (years)']"
Computer Vision,Siliguri,Male,B.A,26,1600000,16LPA,"['computer', 'vision', 'siliguri', '1600000 salary', '26 experience (years)']"
Meanstack,nioda - Uttar Pradesh,Male,B.Tech/B.E.,7,700000,7LPA,"['meanstack', 'nioda', 'uttar', 'pradesh', '700000 salary', '7 experience (years)']"
Meanstack,Noida,Male,B.Tech/B.E.,6,500000,5LPA,"['meanstack', 'noida', '500000 salary', '6 experience (years)']"
Python Fullstack,Mumbai,Male,B.Tech/B.E.,25,1600000,16LPA,"['python', 'fullstack', 'mumbai', '1600000 salary', '25 experience (years)']"
MS Dynamics 365,New Delhi,Female,B.Tech/B.E.,11,900000,9LPA,"['ms', 'dynamics', 'new', 'delhi', '900000 salary', '11 experience (years)']"
Computer vision,Hyderabad,Male,B.Com,9,1900000,19LPA,"['computer', 'vision', 'hyderabad', '1900000 salary', '9 experience (years)']"
Computer vision,Pune,Male,B.Tech/B.E.,6,1900000,19LPA,"['computer', 'vision', 'pune', '1900000 salary', '6 experience (years)']"
I Manage Support,New Delhi,Female,B.Sc,19,2100000,21LPA,"['i', 'manage', 'support', 'new', 'delhi', '2100000 salary', '19 experience (years)']"
Computer vision,Noida,Male,B.Sc,8,2300000,23LPA,"['computer', 'vision', 'noida', '2300000 salary', '8 experience (years)']"
Meanstack,Noida,Male,B.Sc,20,1300000,13LPA,"['meanstack', 'noida', '1300000 salary', '20 experience (years)']"
Meanstack,Gurugram,Female,BCA,22,1300000,13LPA,"['meanstack', 'bca', 'gurugram', '1300000 salary', '22 experience (years)']"
Meanstack,New Delhi,Female,B.Sc,5,1200000,12LPA,"['meanstack', 'new', 'delhi', '1200000 salary', '5 experience (years)']"
Meanstack,New Delhi,Male,B.A,28,600000,6LPA,"['meanstack', 'new', 'delhi', '600000 salary', '28 experience (years)']"
Meanstack,Dehradun,Male,B.Tech/B.E.,25,700000,7LPA,"['meanstack', 'dehradun', '700000 salary', '25 experience (years)']"
Meanstack,Bengaluru,Male,B.Tech/B.E.,28,700000,7LPA,"['meanstack', 'bengaluru', '700000 salary', '28 experience (years)']"
MS Dynamics 365,Noida,Male,B.Com,7,2100000,21LPA,"['ms', 'dynamics', 'noida', '2100000 salary', '7 experience (years)']"
Computer vision,New Delhi,Female,BCA,9,1200000,12LPA,"['computer', 'vision', 'bca', 'new', 'delhi', '1200000 salary', '9 experience (years)']"
Computer vision,Kolkata,Male,B.Tech/B.E.,17,1900000,19LPA,"['computer', 'vision', 'kolkata', '1900000 salary', '17 experience (years)']"
Python Backend,Erode,Male,BTECH,23,600000,6LPA,"['python', 'backend', 'btech', 'erode', '600000 salary', '23 experience (years)']"
MS Dynamics 365,New Delhi,Male,BCA,24,1500000,15LPA,"['ms', 'dynamics', 'bca', 'new', 'delhi', '1500000 salary', '24 experience (years)']"
Computer vision,New Delhi,Female,B.A,17,1200000,12LPA,"['computer', 'vision', 'new', 'delhi', '1200000 salary', '17 experience (years)']"
Python Fullstack,New Delhi,Male,B.Tech/B.E.,17,2100000,21LPA,"['python', 'fullstack', 'new', 'delhi', '2100000 salary', '17 experience (years)']"
Python Backend,Kolkata,Male,B.Tech/B.E.,9,1300000,13LPA,"['python', 'backend', 'kolkata', '1300000 salary', '9 experience (years)']"
Computer vision,New Delhi,Female,B.B.A/ B.M.S,28,2400000,24LPA,"['computer', 'vision', 'new', 'delhi', '2400000 salary', '28 experience (years)']"
Python Fullstack,New Delhi,Male,B.Com,17,2000000,20LPA,"['python', 'fullstack', 'new', 'delhi', '2000000 salary', '17 experience (years)']"
I Manage Support,Noida,Male,BCA,7,1500000,15LPA,"['i', 'manage', 'support', 'bca', 'noida', '1500000 salary', '7 experience (years)']"
C+ Linux,New Delhi,Female,B.Sc,15,1600000,16LPA,"['linux', 'new', 'delhi', '1600000 salary', '15 experience (years)']"
Computer vision,New Delhi,Male,B.Com,19,2200000,22LPA,"['computer', 'vision', 'new', 'delhi', '2200000 salary', '19 experience (years)']"
Python Backend,New Delhi,Male,B.A,13,800000,8LPA,"['python', 'backend', 'new', 'delhi', '800000 salary', '13 experience (years)']"
C+ Linux,Mumbai,Male,B.B.A/ B.M.S,14,900000,9LPA,"['linux', 'mumbai', '900000 salary', '14 experience (years)']"
Data Science,New Delhi,Male,B.Sc,18,1600000,16LPA,"['data', 'science', 'new', 'delhi', '1600000 salary', '18 experience (years)']"
Data Science,Chennai,Male,B.Tech/B.E.,11,1900000,19LPA,"['data', 'science', 'chennai', '1900000 salary', '11 experience (years)']"
Data Science,New Delhi,Female,,28,800000,8LPA,"['data', 'science', 'new', 'delhi', '800000 salary', '28 experience (years)']"
C+ Linux,Hyderabad,Male,B.Sc,18,1300000,13LPA,"['linux', 'hyderabad', '1300000 salary', '18 experience (years)']"
Python Backend,Hyderabad,Male,B.Sc,13,1200000,12LPA,"['python', 'backend', 'hyderabad', '1200000 salary', '13 experience (years)']"
Python Fullstack,Hyderabad,Male,B.A,18,2400000,24LPA,"['python', 'fullstack', 'hyderabad', '2400000 salary', '18 experience (years)']"
Salesfoce Developer,New Delhi,Male,B.Tech/B.E.,19,2100000,21LPA,"['salesfoce', 'developer', 'new', 'delhi', '2100000 salary', '19 experience (years)']"
Salesfoce Developer,Pune,Male,B.Tech/B.E.,23,700000,7LPA,"['salesfoce', 'developer', 'pune', '700000 salary', '23 experience (years)']"
Triage Analyst,Bengaluru,Male,B.Sc,20,1900000,19LPA,"['triage', 'analyst', 'bengaluru', '1900000 salary', '20 experience (years)']"
UI Developer,New Delhi,Male,Diploma,7,2300000,23LPA,"['ui', 'developer', 'diploma', 'new', 'delhi', '2300000 salary', '7 experience (years)']"
Golang Developer,Bengaluru,Male,HSC,7,1000000,10LPA,"['golang', 'developer', 'hsc', 'bengaluru', '1000000 salary', '7 experience (years)']"
Golang Developer,New Delhi,Male,B.Tech/B.E.,7,900000,9LPA,"['golang', 'developer', 'new', 'delhi', '900000 salary', '7 experience (years)']"
IOS Developer,Kolkata,Female,B.Tech/B.E.,10,1700000,17LPA,"['ios', 'developer', 'kolkata', '1700000 salary', '10 experience (years)']"
Golang Developer,New Delhi,Male,BCA,24,1700000,17LPA,"['golang', 'developer', 'bca', 'new', 'delhi', '1700000 salary', '24 experience (years)']"
Golang Developer,Meerut,Female,B.Tech/B.E.,21,1400000,14LPA,"['golang', 'developer', 'meerut', '1400000 salary', '21 experience (years)']"
